PeriodEnd,PeriodStart,Period,AirTemp,Dhi,Dni,Ebh,Ghi
2010-06-30T01:30:00Z,2010-06-30T01:00:00Z,PT30M,9.6,59,892,466,525
2010-06-30T02:00:00Z,2010-06-30T01:30:00Z,PT30M,10.3,61,893,480,541
2010-06-30T02:30:00Z,2010-06-30T02:00:00Z,PT30M,11.0,62,886,473,535
2010-06-30T03:00:00Z,2010-06-30T02:30:00Z,PT30M,11.6,62,877,459,521
2010-06-30T03:30:00Z,2010-06-30T03:00:00Z,PT30M,11.9,61,859,425,486
2010-06-30T04:00:00Z,2010-06-30T03:30:00Z,PT30M,12.1,60,837,383,443
2010-06-30T04:30:00Z,2010-06-30T04:00:00Z,PT30M,12.2,57,800,326,383
2010-06-30T05:00:00Z,2010-06-30T04:30:00Z,PT30M,12.3,53,756,263,316
2010-06-30T05:30:00Z,2010-06-30T05:00:00Z,PT30M,12.4,46,682,193,239
2010-06-30T06:00:00Z,2010-06-30T05:30:00Z,PT30M,12.4,38,586,120,158
2010-06-30T06:30:00Z,2010-06-30T06:00:00Z,PT30M,12.2,22,344,63,85
2010-06-30T07:00:00Z,2010-06-30T06:30:00Z,PT30M,11.9,5,68,12,17
2010-06-30T07:30:00Z,2010-06-30T07:00:00Z,PT30M,11.6,0,0,0,0
2010-06-30T08:00:00Z,2010-06-30T07:30:00Z,PT30M,11.2,0,0,0,0
2010-06-30T08:30:00Z,2010-06-30T08:00:00Z,PT30M,10.8,0,0,0,0
2010-06-30T09:00:00Z,2010-06-30T08:30:00Z,PT30M,10.4,0,0,0,0
2010-06-30T09:30:00Z,2010-06-30T09:00:00Z,PT30M,10.1,0,0,0,0
2010-06-30T10:00:00Z,2010-06-30T09:30:00Z,PT30M,9.8,0,0,0,0
2010-06-30T10:30:00Z,2010-06-30T10:00:00Z,PT30M,9.5,0,0,0,0
2010-06-30T11:00:00Z,2010-06-30T10:30:00Z,PT30M,9.2,0,0,0,0
2010-06-30T11:30:00Z,2010-06-30T11:00:00Z,PT30M,9.0,0,0,0,0
2010-06-30T12:00:00Z,2010-06-30T11:30:00Z,PT30M,8.7,0,0,0,0
2010-06-30T12:30:00Z,2010-06-30T12:00:00Z,PT30M,8.7,0,0,0,0
2010-06-30T13:00:00Z,2010-06-30T12:30:00Z,PT30M,8.8,0,0,0,0
2010-06-30T13:30:00Z,2010-06-30T13:00:00Z,PT30M,8.9,0,0,0,0
2010-06-30T14:00:00Z,2010-06-30T13:30:00Z,PT30M,9.0,0,0,0,0
2010-06-30T14:30:00Z,2010-06-30T14:00:00Z,PT30M,9.1,0,0,0,0
2010-06-30T15:00:00Z,2010-06-30T14:30:00Z,PT30M,9.3,0,0,0,0
2010-06-30T15:30:00Z,2010-06-30T15:00:00Z,PT30M,9.2,0,0,0,0
2010-06-30T16:00:00Z,2010-06-30T15:30:00Z,PT30M,9.2,0,0,0,0
2010-06-30T16:30:00Z,2010-06-30T16:00:00Z,PT30M,9.1,0,0,0,0
2010-06-30T17:00:00Z,2010-06-30T16:30:00Z,PT30M,8.9,0,0,0,0
2010-06-30T17:30:00Z,2010-06-30T17:00:00Z,PT30M,8.8,0,0,0,0
2010-06-30T18:00:00Z,2010-06-30T17:30:00Z,PT30M,8.7,0,0,0,0
2010-06-30T18:30:00Z,2010-06-30T18:00:00Z,PT30M,8.6,0,0,0,0
2010-06-30T19:00:00Z,2010-06-30T18:30:00Z,PT30M,8.5,0,0,0,0
2010-06-30T19:30:00Z,2010-06-30T19:00:00Z,PT30M,8.4,0,0,0,0
2010-06-30T20:00:00Z,2010-06-30T19:30:00Z,PT30M,8.3,0,0,0,0
2010-06-30T20:30:00Z,2010-06-30T20:00:00Z,PT30M,8.2,0,0,0,0
2010-06-30T21:00:00Z,2010-06-30T20:30:00Z,PT30M,8.1,1,14,2,3
2010-06-30T21:30:00Z,2010-06-30T21:00:00Z,PT30M,8.2,12,221,31,43
2010-06-30T22:00:00Z,2010-06-30T21:30:00Z,PT30M,8.4,26,482,71,97
2010-06-30T22:30:00Z,2010-06-30T22:00:00Z,PT30M,8.6,36,623,137,173
2010-06-30T23:00:00Z,2010-06-30T22:30:00Z,PT30M,8.9,44,722,211,255
2010-06-30T23:30:00Z,2010-06-30T23:00:00Z,PT30M,9.1,49,780,278,328
2010-07-01T00:00:00Z,2010-06-30T23:30:00Z,PT30M,9.4,53,823,343,397
2010-07-01T00:30:00Z,2010-07-01T00:00:00Z,PT30M,9.9,56,849,393,449
2010-07-01T01:00:00Z,2010-07-01T00:30:00Z,PT30M,10.6,59,866,435,493
2010-07-01T01:30:00Z,2010-07-01T01:00:00Z,PT30M,11.3,74,836,437,512
2010-07-01T02:00:00Z,2010-07-01T01:30:00Z,PT30M,12.1,96,786,423,519
2010-07-01T02:30:00Z,2010-07-01T02:00:00Z,PT30M,12.8,141,649,349,490
2010-07-01T03:00:00Z,2010-07-01T02:30:00Z,PT30M,13.5,187,502,263,450
2010-07-01T03:30:00Z,2010-07-01T03:00:00Z,PT30M,13.8,143,611,296,439
2010-07-01T04:00:00Z,2010-07-01T03:30:00Z,PT30M,13.9,73,793,361,434
2010-07-01T04:30:00Z,2010-07-01T04:00:00Z,PT30M,13.9,54,808,330,384
2010-07-01T05:00:00Z,2010-07-01T04:30:00Z,PT30M,13.9,50,767,268,318
2010-07-01T05:30:00Z,2010-07-01T05:00:00Z,PT30M,13.9,44,694,197,241
2010-07-01T06:00:00Z,2010-07-01T05:30:00Z,PT30M,13.8,37,599,124,160
2010-07-01T06:30:00Z,2010-07-01T06:00:00Z,PT30M,13.5,21,353,65,86
2010-07-01T07:00:00Z,2010-07-01T06:30:00Z,PT30M,13.1,5,71,13,18
2010-07-01T07:30:00Z,2010-07-01T07:00:00Z,PT30M,12.7,0,1,0,0
2010-07-01T08:00:00Z,2010-07-01T07:30:00Z,PT30M,12.2,0,0,0,0
